	sham.pval	sham.fdr	sna.pval	sna.fdr	sna.log2Ratio.fwd	sna.log2Ratio.rev	sham.log2Ratio.fwd	sham.log2Ratio.rev	sna.mean	sham.mean	FisherP	FisherFDR
Hnrnpd	0.00126181117128328	0.00373996284101079	0.00667259229096175	0.0158579574495174	1.49015934	-1.973865681	1.064951812	-2.121800441	1.7320125105	1.5933761265	0.000106801623385928	0.000244160114580104
Hnrnph1	0.0432599481280767	0.0558138154279892	0.178496204717203	0.228241048654784	NA	-0.489382344	NA	-0.242208659	0.489382344	0.242208659	0.0452780701793309	0.0552475535215688
Hnrnpk	0.013910653618768	0.0224343384341895	0.0583066984038867	0.0905059199105107	0.881194737	-1.134413697	0.614662735	-0.87450759	1.007804217	0.7445851625	0.00658368354409696	0.00936502578999889
Hnrnpl	0.0452948989498793	0.0582110224785558	0.19265499719088	0.239475534356791	0.215616477	-0.678418193	0.21971064	NA	0.447017335	0.21971064	0.050101245549739	0.0600312221451828
Hnrnpm	0.00230152348134563	0.0059156345731462	0.084293943529063	0.121669747207866	NA	-0.853892246	1.117096566	-1.683020169	0.853892246	1.4000583675	0.00185228294743416	0.00296811604829812
Hnrnpu	NA	NA	0.09810516306556	0.138343167678414	1.124328135	-0.448528279	NA	NA	0.786428207	NA	NA	NA
Hsp90aa1	0.00189309741862857	0.00506365081893334	0.08384272046465	0.121669436209167	0.954717448	-0.757745063	1.755101219	-1.17299399	0.8562312555	1.4640476045	0.00154728243982441	0.00256592851567866
Hsp90ab1	0.00273093608982681	0.00651070995328276	0.183705728622605	0.232992631423791	0.515813357	-0.431306305	0.963770031	-1.722324647	0.473559831	1.343047339	0.00431328329743421	0.00644569301751405
Hsp90b1	NA	NA	0.361112280170635	0.391204970184855	0.036890111	NA	NA	NA	0.036890111	NA	NA	NA
Hspa12a	NA	NA	0.252738606576742	0.298691080499786	NA	-0.285213779	NA	NA	0.285213779	NA	NA	NA
Hspa1b	0.0155537170300234	0.0246330379437969	NA	NA	NA	NA	NA	-0.698974324	NA	0.698974324	NA	NA
Hspa4	4.54715854710459e-05	0.000356194086189859	6.67443602290135e-07	4.62760897587827e-06	3.908620792	-3.331452398	1.867856938	-3.166178862	3.620036595	2.5170179	7.65366306605291e-10	5.50236317721641e-09
Hspa5	0.00544378434885245	0.01072458114235	0.0354733757382265	0.0591855252958646	1.036116453	-1.358158064	0.980171574	-1.225699982	1.1971372585	1.102935778	0.00184463004415617	0.00296811604829812
Hspa8	0.00107159217025587	0.0033808471245596	0.0126225833227318	0.0249256075740021	1.46894818	-1.616215541	1.68513282	-1.603270562	1.5425818605	1.644201691	0.000165167521266111	0.000355946333947414
Hspa9	0.00688982124275198	0.0128792681185534	0.0449839772060634	0.0719743635297014	1.033581579	-1.184293423	1.468687573	-0.564819484	1.108937501	1.0167535285	0.00281391794470039	0.00432660215774742
Hspd1	0.0333280298508134	0.0461300825486188	0.255383688258548	0.299835660459475	0.10433666	-0.452885835	0.366252264	NA	0.2786112475	0.366252264	0.049079869203464	0.0593420236732792
Hspg2	0.0033891878554785	0.00763727948255087	NA	NA	NA	NA	1.739848103	-0.799570979	NA	1.269709541	NA	NA
I6L9E1	0.0692496659464838	0.0840706276619674	0.0163997769666976	0.0309958412072075	-2.680104651	1.230080016	-3.062625474	NA	-1.9550923335	-3.062625474	0.00883617888102427	0.012335827582022
Iars	0.0394772687323152	0.0527908754672066	NA	NA	NA	NA	0.286408055	NA	NA	0.286408055	NA	NA
Idh3b	0.0126957180922277	0.0210954103653682	0.00720067389944698	0.0163986150118792	1.797967539	-1.622332045	0.781401682	NA	1.710149792	0.781401682	0.000941609082130102	0.00165872858176561
